id,type,title,slug,url,date,modified,word_count,yoast_title,yoast_metadesc,focus_keyword
2,page,Examenstof,examenstof,/examenstof/,2015-11-30 15:29:36,2016-04-24 12:42:30,1,,"Alle examenstof van het VMBO examenvak maatschappijleer 2: Geschreven uitleg, Video’s, Oefenvragen, Slides, Downloads en meer - Voor leerlingen en docenten!",
8,page,Websites,websites,/websites/,2015-11-30 15:40:04,2016-06-21 13:13:03,15,,"Alle examenstof van het VMBO examenvak maatschappijleer 2: Geschreven uitleg, Video’s, Oefenvragen, Slides, Downloads en meer - Voor leerlingen en docenten!",
27,page,Kerndoelen,kerndoelen,/kerndoelen/,2015-11-30 16:51:32,2015-12-13 17:12:03,0,,,
34,page,Home,home,/home/,2015-11-30 17:37:47,2016-06-22 20:38:33,45,Maatschappijkunde.nl,"Alle examenstof van het VMBO examenvak maatschappijleer 2: Geschreven uitleg, Video’s, Oefenvragen, Slides, Downloads en meer - Voor leerlingen en docenten!",maatschappijkunde
83,page,Over maatschappijkunde.nl,over,/over/,2015-12-05 19:13:39,2024-01-22 19:23:49,117,,"Alle examenstof van het VMBO examenvak maatschappijleer 2: geschreven uitleg, video’s, slides en downloads. Voor leerlingen en docenten!",maatschappijleer 2
191,page,Mens en Werk,mens-en-werk,/examenstof/mens-en-werk/,2015-12-06 20:39:30,2016-03-07 09:26:11,0,,"Alle Geschreven uitleg, Video's, Slides en Downloads van het onderwerp Mens en Werk van het examenvak maatschappijleer 2.",
205,page,Politiek en Beleid,politiekenbeleid,/examenstof/politiekenbeleid/,2015-12-06 21:14:42,2016-06-18 19:16:48,2,,"Alle Geschreven uitleg, Video's, Slides en Downloads van het onderwerp Politiek en Beleid van het examenvak maatschappijleer 2.",politiek en beleid
232,page,Planning,planning,/planning/,2015-12-07 09:16:35,2024-04-09 13:02:57,502,,,
694,page,Criminaliteit en Rechtsstaat,criminaliteit-en-rechtsstaat,/examenstof/criminaliteit-en-rechtsstaat/,2015-12-21 17:39:22,2016-06-18 19:17:07,2,,"Alle Geschreven uitleg, Video's, Slides en Downloads van het onderwerp Criminaliteit en Rechtsstaat van het examenvak maatschappijleer 2.",criminaliteit en rechtsstaat
1029,page,???? Analyse Maatschappelijk Vraagstuk,analyse-maatschappelijk-vraagstuk,/examenstof/analyse-maatschappelijk-vraagstuk/,2016-02-13 13:57:23,2018-04-12 20:09:05,2,,"Alle Geschreven uitleg, Video's, Slides en Downloads van het onderwerp Analyse Maatschappelijk Vraagstuk (AMV) van het examenvak maatschappijleer 2.",
