url,content_type,title,source_content,in_sitemap,sitemap,lastmod,redirect_status,redirect_target,analytics_rank,analytics_views,advice
/,,,,yes,post-sitemap.xml,2025-10-26 09:52 +00:00,,,1,3832,investigate - sitemap URL not matched to extracted content
/begrippen/,page,Begrippenlijst,yes,yes,page-sitemap.xml,2016-06-26 17:22 +00:00,,,13,495,preserve as static page
/begrippen/advocaat/,glossary,Advocaat,yes,,,,301,https://schoolwoorden.nl/begrip/advocaat/,,,keep redirect
/begrippen/agenda-functie/,glossary,Agenda functie,yes,,,,301,https://schoolwoorden.nl/begrip/agenda-functie/,90,17,keep redirect
/begrippen/agendatheorie/,glossary,Agendatheorie,yes,,,,301,https://schoolwoorden.nl/begrip/agendatheorie/,38,156,keep redirect
/begrippen/algemene-beschouwingen/,glossary,Algemene Beschouwingen,yes,,,,301,https://schoolwoorden.nl/begrip/algemene-beschouwingen/,,,keep redirect
/begrippen/allochtoon/,glossary,Allochtoon,yes,,,,301,https://schoolwoorden.nl/begrip/allochtoon/,,,keep redirect
/begrippen/amusementsfunctie/,glossary,Amusementsfunctie,yes,,,,301,https://schoolwoorden.nl/begrip/amusementsfunctie/,91,15,keep redirect
/begrippen/arbeidsinspectie/,glossary,Arbeidsinspectie,yes,,,,301,https://schoolwoorden.nl/begrip/arbeidsinspectie/,,,keep redirect
/begrippen/arbeidsomstandigheden/,glossary,Arbeidsomstandigheden,yes,,,,301,https://schoolwoorden.nl/begrip/arbeidsomstandigheden/,,,keep redirect
/begrippen/arbeidsverdeling/,glossary,Arbeidsverdeling,yes,,,,301,https://schoolwoorden.nl/begrip/arbeidsverdeling/,,,keep redirect
/begrippen/arbeidsvoorwaarden/,glossary,Arbeidsvoorwaarden,yes,,,,301,https://schoolwoorden.nl/begrip/arbeidsvoorwaarden/,,,keep redirect
/begrippen/arboregels/,glossary,Arboregels,yes,,,,301,https://schoolwoorden.nl/begrip/arboregels/,,,keep redirect
/begrippen/asielzoeker/,glossary,Asielzoeker,yes,,,,301,https://schoolwoorden.nl/begrip/asielzoeker/,,,keep redirect
/begrippen/audiovisuele-media/,glossary,Audiovisuele media,yes,,,,301,https://schoolwoorden.nl/begrip/audiovisuele-media/,,,keep redirect
/begrippen/autochtoon/,glossary,Autochtoon,yes,,,,301,https://schoolwoorden.nl/begrip/autochtoon/,,,keep redirect
/begrippen/automatisering/,glossary,Automatisering,yes,,,,301,https://schoolwoorden.nl/begrip/automatisering/,,,keep redirect
/begrippen/autoritair-leiderschap/,glossary,Autoritair leiderschap,yes,,,,301,https://schoolwoorden.nl/begrip/autoritair-leiderschap/,,,keep redirect
/begrippen/bedrijfscultuur/,glossary,Bedrijfscultuur,yes,,,,301,https://schoolwoorden.nl/begrip/bedrijfscultuur/,,,keep redirect
/begrippen/begroting/,glossary,Begroting,yes,,,,301,https://schoolwoorden.nl/begrip/begroting/,,,keep redirect
/begrippen/beleidsvoorbereiding/,glossary,Beleidsvoorbereiding,yes,,,,301,https://schoolwoorden.nl/begrip/beleidsvoorbereiding/,,,keep redirect
/begrippen/beroepsbevolking/,glossary,Beroepsbevolking,yes,,,,301,https://schoolwoorden.nl/begrip/beroepsbevolking/,,,keep redirect
/begrippen/betaald-werk/,glossary,Betaald werk,yes,,,,301,https://schoolwoorden.nl/begrip/betaald-werk/,,,keep redirect
/begrippen/bindende-functie/,glossary,Bindende functie,yes,,,,301,https://schoolwoorden.nl/begrip/bindende-functie/,,,keep redirect
/begrippen/bureau-reclassering/,glossary,Bureau Reclassering,yes,,,,301,https://schoolwoorden.nl/begrip/bureau-reclassering/,,,keep redirect
/begrippen/bureaucratie/,glossary,Bureaucratie,yes,,,,301,https://schoolwoorden.nl/begrip/bureaucratie/,,,keep redirect
/begrippen/burgemeester/,glossary,Burgemeester,yes,,,,301,https://schoolwoorden.nl/begrip/burgemeester/,,,keep redirect
/begrippen/burgerinitiatief/,glossary,Burgerinitiatief,yes,,,,301,https://schoolwoorden.nl/begrip/burgerinitiatief/,,,keep redirect
/begrippen/cassatie/,glossary,Cassatie,yes,,,,301,https://schoolwoorden.nl/begrip/cassatie/,,,keep redirect
/begrippen/ceremoniele-functie/,glossary,Ceremoniële functie,yes,,,,301,https://schoolwoorden.nl/begrip/ceremoniele-functie/,97,14,keep redirect
/begrippen/christelijke-stroming/,glossary,Christelijke Stroming,yes,,,,301,https://schoolwoorden.nl/begrip/christelijke-stroming/,,,keep redirect
/begrippen/coalitiepartijen/,glossary,Coalitiepartijen,yes,,,,301,https://schoolwoorden.nl/begrip/coalitiepartijen/,,,keep redirect
/begrippen/collectieve-arbeidsovereenkomst/,glossary,Collectieve arbeidsovereenkomst,yes,,,,301,https://schoolwoorden.nl/begrip/collectieve-arbeidsovereenkomst/,,,keep redirect
/begrippen/college-burgemeester-en-wethouders/,glossary,College van B en W,yes,,,,301,https://schoolwoorden.nl/begrip/college-van-burgemeester-en-wethouders,,,keep redirect
/begrippen/collegeakkoord/,glossary,Collegeakkoord,yes,,,,301,https://schoolwoorden.nl/begrip/collegeakkoord/,,,keep redirect
/begrippen/commentaar-functie/,glossary,Commentaar functie,yes,,,,301,https://schoolwoorden.nl/begrip/commentaar-functie/,,,keep redirect
/begrippen/commissaris-van-de-koning/,glossary,Commissaris van de Koning,yes,,,,301,https://schoolwoorden.nl/begrip/commissaris-van-de-koning/,,,keep redirect
/begrippen/conjuncturele-werkloosheid/,glossary,Conjuncturele werkloosheid,yes,,,,301,https://schoolwoorden.nl/begrip/conjuncturele-werkloosheid/,,,keep redirect
/begrippen/constitutionele-monarchie/,glossary,Constitutionele Monarchie,yes,,,,301,https://schoolwoorden.nl/begrip/constitutionele-monarchie/,,,keep redirect
/begrippen/consulterend-leiderschap/,glossary,Consulterend leiderschap,yes,,,,301,https://schoolwoorden.nl/begrip/consulterend-leiderschap/,,,keep redirect
/begrippen/controlerende-functie/,glossary,Controlerende functie,yes,,,,301,https://schoolwoorden.nl/begrip/controlerende-functie/,77,27,keep redirect
/begrippen/criminaliteit/,glossary,Criminaliteit,yes,,,,301,https://schoolwoorden.nl/begrip/criminaliteit/,50,72,keep redirect
/begrippen/cultuur/,glossary,Cultuur,yes,,,,301,https://schoolwoorden.nl/begrip/cultuur/,99,13,keep redirect
/begrippen/cultuuroverdracht/,glossary,Cultuuroverdracht,yes,,,,301,https://schoolwoorden.nl/begrip/cultuuroverdracht/,55,55,keep redirect
/begrippen/delicten/,glossary,Delicten,yes,,,,301,https://schoolwoorden.nl/begrip/delicten/,,,keep redirect
/begrippen/democratisch-leiderschap/,glossary,Democratisch leiderschap,yes,,,,301,https://schoolwoorden.nl/begrip/democratisch-leiderschap/,,,keep redirect
/begrippen/democratische-besluitvorming/,glossary,Democratische Besluitvorming,yes,,,,301,https://schoolwoorden.nl/begrip/democratische-besluitvorming/,65,38,keep redirect
/begrippen/dereguleren/,glossary,Dereguleren,yes,,,,301,https://schoolwoorden.nl/begrip/dereguleren/,,,keep redirect
/begrippen/dictatuur/,glossary,Dictatuur,yes,,,,301,https://schoolwoorden.nl/begrip/dictatuur/,92,15,keep redirect
/begrippen/directe-verkiezingen/,glossary,Directe Verkiezingen,yes,,,,301,https://schoolwoorden.nl/begrip/directe-verkiezingen/,,,keep redirect
/begrippen/discriminatie/,glossary,Discriminatie,yes,,,,301,https://schoolwoorden.nl/begrip/discriminatie/,,,keep redirect
/begrippen/ecologische-stroming/,glossary,Ecologische stroming,yes,,,,301,https://schoolwoorden.nl/begrip/ecologische-stroming/,,,keep redirect
/begrippen/educatieve-functie/,glossary,Educatieve functie,yes,,,,301,https://schoolwoorden.nl/begrip/educatieve-functie/,,,keep redirect
/begrippen/eerste-kamer/,glossary,Eerste Kamer,yes,,,,301,https://schoolwoorden.nl/begrip/eerste-kamer/,,,keep redirect
/begrippen/eigenrichting/,glossary,Eigenrichting,yes,,,,301,https://schoolwoorden.nl/begrip/eigenrichting/,,,keep redirect
/begrippen/emancipatiebeleid/,glossary,Emancipatiebeleid,yes,,,,301,https://schoolwoorden.nl/begrip/emancipatiebeleid/,,,keep redirect
/begrippen/etikettering/,glossary,Etikettering,yes,,,,301,https://schoolwoorden.nl/begrip/etikettering/,,,keep redirect
/begrippen/europese-commissie/,glossary,Europese Commissie,yes,,,,301,https://schoolwoorden.nl/begrip/europese-commissie/,,,keep redirect
/begrippen/europese-gemeenschap-kolen-en-staal/,glossary,Europese Gemeenschap voor Kolen en Staal,yes,,,,301,https://schoolwoorden.nl/begrip/europese-gemeenschap-voor-kolen-en-staal,,,keep redirect
/begrippen/europese-gemeenschap/,glossary,Europese Gemeenschap,yes,,,,301,https://schoolwoorden.nl/begrip/europese-gemeenschap/,,,keep redirect
/begrippen/europese-parlement/,glossary,Europese Parlement,yes,,,,301,https://schoolwoorden.nl/begrip/europese-parlement/,,,keep redirect
/begrippen/europese-raad/,glossary,Europese Raad,yes,,,,301,https://schoolwoorden.nl/begrip/europese-raad/,,,keep redirect
/begrippen/europese-unie/,glossary,Europese Unie,yes,,,,301,https://schoolwoorden.nl/begrip/europese-unie/,,,keep redirect
/begrippen/fouilleren/,glossary,Fouilleren,yes,,,,301,https://schoolwoorden.nl/begrip/fouilleren/,,,keep redirect
/begrippen/fracties/,glossary,Fracties,yes,,,,301,https://schoolwoorden.nl/begrip/fractie/,,,keep redirect
/begrippen/fractievoorzitter/,glossary,Fractievoorzitter,yes,,,,301,https://schoolwoorden.nl/begrip/fractievoorzitter/,,,keep redirect
/begrippen/frictiewerkloosheid/,glossary,Frictiewerkloosheid,yes,,,,301,https://schoolwoorden.nl/begrip/frictiewerkloosheid/,,,keep redirect
/begrippen/gedeputeerde-staten/,glossary,Gedeputeerde Staten,yes,,,,301,https://schoolwoorden.nl/begrip/gedeputeerde-staten/,,,keep redirect
/begrippen/gedrukte-media/,glossary,Gedrukte media,yes,,,,301,https://schoolwoorden.nl/begrip/gedrukte-media/,,,keep redirect
