page,title,issue,severity,detail
"/category/amv/","Analyse Maatschappelijk Vraagstuk","short_content","low","0 words"
"/category/criminaliteitenrechtsstaat/","Criminaliteit en Rechtsstaat","short_content","low","0 words"
"/category/examenstof/","Examenstof","short_content","low","25 words"
"/category/featured/","featured","short_content","low","2 words"
"/category/massamedia/","Massamedia","short_content","low","0 words"
"/category/mens-en-werk/","Mens en Werk","short_content","low","0 words"
"/category/multiculti/","Multiculturele Samenleving","short_content","low","25 words"
"/category/politiekenbeleid/","Politiek en Beleid","short_content","low","0 words"
"/contact-support/","Contact Support","short_content","low","13 words"
"/examenstof-2/","Knowledge Base Archive","short_content","low","10 words"
"/kerndoel-tags/leerjaar-3/","leerjaar 3","short_content","low","0 words"
"/kerndoel-tags/leerjaar-4/","leerjaar 4","short_content","low","0 words"
"/kerndoelen/beeldvorming-en-stereotypering/","Beeldvorming en stereotypering","short_content","low","17 words"
"/kerndoelen/cultuur-en-socialisatie/","Cultuur en Socialisatie","short_content","low","13 words"
"/kerndoelen/domein-b-rechtsstaat/","Domein B: Rechtsstaat","short_content","low","25 words"
"/kerndoelen/domein-c-parlementaire-democratie/","Domein C: Parlementaire Democratie","short_content","low","0 words"
"/kerndoelen/macht-en-zeggenschap/","Macht en zeggenschap","short_content","low","19 words"
"/kerndoelen/sociale-verschillen/","Sociale verschillen","short_content","low","18 words"
"/leertips/","Leertips","short_content","low","29 words"
"/websites/","Websites","short_content","low","15 words"
