path,type,expected_status,actual_status,expected_location,actual_location,issue
"/","page","200","200","","",""
"/examenstof/","page","200","200","","",""
"/kerndoelen/mensenwerk/","page","200","200","","",""
"/begrippen/","page","200","200","","",""
"/downloads/","page","200","200","","",""
"/examenstof/amv-kerndoel1/","page","200","200","","",""
"/examenstof/criminaliteitenrechtsstaat-kerndoel1/","page","200","200","","",""
"/category/amv/","page","200","200","","",""
"/kerndoel-tags/leerjaar-3/","page","200","200","","",""
"/sitemap-index.xml","page","200","200","","",""
"/begrippen/tweede-kamer/","redirect","301","301","https://schoolwoorden.nl/begrip/tweede-kamer/","https://schoolwoorden.nl/begrip/tweede-kamer/",""
"/begrippen/parlement/","redirect","301","301","https://schoolwoorden.nl/begrip/parlement/","https://schoolwoorden.nl/begrip/parlement/",""
"/begrippen/reageerakkoord/","redirect","301","301","https://schoolwoorden.nl/begrip/regeerakkoord/","https://schoolwoorden.nl/begrip/regeerakkoord/",""
"/kerndoelen/","redirect","301","200","https://maatschappijkunde.nl/examenstof/","","status:200;location:missing"
"/politiekenbeleid-kerndoel1-1/","redirect","301","200","https://maatschappijkunde.nl/examenstof/politiekenbeleid-kerndoel1-1/","","status:200;location:missing"
"/amv-kerndoel1/","redirect","301","200","https://maatschappijkunde.nl/examenstof/amv-kerndoel1/","","status:200;location:missing"
"/ciminaliteitenrechtsstaat-kerndoel1/","redirect","301","200","https://maatschappijkunde.nl/examenstof/criminaliteitenrechtsstaat-kerndoel1/","","status:200;location:missing"
