sitemap,url,path,images,lastmod,status,title,redirect_status,redirect_target
"post-sitemap.xml","https://maatschappijkunde.nl/","/","0","2025-10-26 09:52 +00:00","page","Home","",""
"post-sitemap.xml","https://maatschappijkunde.nl/ml2-k-6-2-het-overheidsbeleid/","/ml2-k-6-2-het-overheidsbeleid/","2","2025-10-26 09:52 +00:00","page","(ML2/K/6) 2. Het overheidsbeleid","",""
"post-sitemap.xml","https://maatschappijkunde.nl/ml2-k-6-4-culturele-differentiatie/","/ml2-k-6-4-culturele-differentiatie/","0","2025-10-26 09:52 +00:00","page","(ML2/K/6) 4. Culturele differentiatie","",""
"post-sitemap.xml","https://maatschappijkunde.nl/ml2-k-6-5-vooroordelen-stereotypen-en-discriminatie/","/ml2-k-6-5-vooroordelen-stereotypen-en-discriminatie/","0","2025-10-26 09:52 +00:00","page","(ML2/K/6) 5. Vooroordelen, stereotypen en discriminatie","",""
"post-sitemap.xml","https://maatschappijkunde.nl/multiculturelemsamenleving-kerndoel-1/","/multiculturelemsamenleving-kerndoel-1/","0","2025-10-26 09:52 +00:00","page","(ML2/K/6) 1. Nederland als multiculturele samenleving","",""
"post-sitemap.xml","https://maatschappijkunde.nl/ml2-k-6-3-sociaaleconomische-positie-allochtonen/","/ml2-k-6-3-sociaaleconomische-positie-allochtonen/","2","2025-10-26 09:52 +00:00","page","(ML2/K/6) 3. Sociaaleconomische positie allochtonen","",""
"page-sitemap.xml","https://maatschappijkunde.nl/home/","/home/","1","2016-06-22 19:38 +00:00","page","Home","",""
"page-sitemap.xml","https://maatschappijkunde.nl/examenstof/mens-en-werk/","/examenstof/mens-en-werk/","0","2016-03-07 08:26 +00:00","page","Mens en Werk","",""
"page-sitemap.xml","https://maatschappijkunde.nl/examenstof/","/examenstof/","0","2016-04-24 11:42 +00:00","page","Examenstof","",""
"page-sitemap.xml","https://maatschappijkunde.nl/examenstof/politiekenbeleid/","/examenstof/politiekenbeleid/","0","2016-06-18 18:16 +00:00","page","Politiek en Beleid","",""
"page-sitemap.xml","https://maatschappijkunde.nl/examenstof/criminaliteit-en-rechtsstaat/","/examenstof/criminaliteit-en-rechtsstaat/","0","2016-06-18 18:17 +00:00","page","Criminaliteit en Rechtsstaat","",""
"page-sitemap.xml","https://maatschappijkunde.nl/websites/","/websites/","0","2016-06-21 12:13 +00:00","page","Websites","",""
"page-sitemap.xml","https://maatschappijkunde.nl/begrippen/","/begrippen/","0","2016-06-26 17:22 +00:00","page","Begrippenlijst","",""
"page-sitemap.xml","https://maatschappijkunde.nl/examenstof/analyse-maatschappelijk-vraagstuk/","/examenstof/analyse-maatschappelijk-vraagstuk/","0","2018-04-12 19:09 +00:00","page","Analyse Maatschappelijk Vraagstuk","",""
"page-sitemap.xml","https://maatschappijkunde.nl/downloads/","/downloads/","8","2019-04-14 14:44 +00:00","page","Downloads","",""
"page-sitemap.xml","https://maatschappijkunde.nl/over/","/over/","0","2024-01-22 18:23 +00:00","page","Over maatschappijkunde.nl","",""
"page-sitemap.xml","https://maatschappijkunde.nl/planning/","/planning/","0","2024-04-09 12:02 +00:00","page","Planning","",""
"page-sitemap.xml","https://maatschappijkunde.nl/planning/leerjaar3/","/planning/leerjaar3/","0","2024-04-09 12:02 +00:00","page","Leerjaar 3 (normaal)","",""
"page-sitemap.xml","https://maatschappijkunde.nl/planning/leerjaar4/","/planning/leerjaar4/","0","2024-04-09 12:02 +00:00","page","leerjaar 4","",""
"page-sitemap.xml","https://maatschappijkunde.nl/leerjaar-3-versneld/","/leerjaar-3-versneld/","0","2024-04-09 12:02 +00:00","page","Leerjaar 3 (versneld)","",""
"page-sitemap.xml","https://maatschappijkunde.nl/leertips/","/leertips/","0","2024-04-09 12:06 +00:00","page","Leertips","",""
"page-sitemap.xml","https://maatschappijkunde.nl/contact-support/","/contact-support/","0","2024-04-09 12:20 +00:00","page","Contact Support","",""
